Code Domaine,Domaine,Code zone,Zone,Code de devise ISO,Devise,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"PE","Taux de change - Annuels","147","Namibie","NAD","Namibia Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","13.2339","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","148","Nauru","AUD","Australian Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1.3384","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","149","Népal","NPR","Nepalese Rupee","5540","Unités de monnaie locale standardisée par USD","2018","2018","","108.9109","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","157","Nicaragua","NIO","Cordoba Oro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","31.5532","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","158","Niger","XOF","CFA Franc BCEAO","5540","Unités de monnaie locale standardisée par USD","2018","2018","","555.4465","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","159","Nigéria","NGN","Naira","5540","Unités de monnaie locale standardisée par USD","2018","2018","","306.0837","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","162","Norvège","NOK","Norwegian Krone","5540","Unités de monnaie locale standardisée par USD","2018","2018","","8.1325","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","153","Nouvelle-Calédonie","XPF","CFP Franc","5540","Unités de monnaie locale standardisée par USD","2018","2018","","101.0468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","156","Nouvelle-Zélande","NZD","New Zealand Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1.4453","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","221","Oman","OMR","Rial Omani","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.3845","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","226","Ouganda","UGX","Uganda Shilling","5540","Unités de monnaie locale standardisée par USD","2018","2018","","3727.0717","X","Sources internationales sûres","Data from UNSD AMA"
